resource,robot,task_id,start_time,end_time
charging_station,robot_7,task_12,53.84260608103725,66.28260608103726
charging_station,robot_3,task_8,77.27777315703516,89.10777315703515
charging_station,robot_7,task_4,93.79750608457253,106.11750608457254
corridor_A,robot_4,task_7,18.442270833527104,26.322270833527103
corridor_A,robot_6,task_5,29.5731198692002,40.5931198692002
corridor_A,robot_2,task_9,40.5931198692002,50.6131198692002
corridor_A,robot_4,task_3,50.6131198692002,58.4831198692002
corridor_A,robot_2,task_13,58.4831198692002,67.7431198692002
corridor_A,robot_6,task_11,67.81485137381041,76.40485137381042
corridor_A,robot_2,task_1,85.98664279256793,97.35664279256794
loading_zone,robot_4,task_7,18.442270833527104,27.322270833527103
loading_zone,robot_1,task_10,39.762606081037255,53.84260608103725
loading_zone,robot_7,task_12,53.84260608103725,66.78260608103726
loading_zone,robot_5,task_2,68.58811239695193,83.53811239695193
loading_zone,robot_1,task_6,83.53811239695193,97.37811239695192
loading_zone,robot_5,task_14,97.37811239695192,112.01811239695192
