resource,robot,task_id,start_time,end_time
charging_station,robot_3,task_4,27.335199936264516,37.70519993626451
charging_station,robot_3,task_12,49.01641738482122,60.10641738482122
charging_station,robot_3,task_8,71.40065128485672,81.78065128485673
corridor_A,robot_6,task_7,20.375946735392194,29.215946735392194
corridor_A,robot_4,task_11,30.764831516246964,39.84483151624696
corridor_A,robot_2,task_1,40.069113277449816,50.44911327744982
corridor_A,robot_4,task_9,51.74685432536561,62.076854325365616
corridor_A,robot_6,task_3,62.076854325365616,72.02685432536562
corridor_A,robot_2,task_5,73.5188552039499,84.33885520394989
loading_zone,robot_6,task_7,20.375946735392194,30.215946735392194
loading_zone,robot_1,task_6,33.99641738482122,49.01641738482122
loading_zone,robot_3,task_12,49.01641738482122,60.60641738482122
loading_zone,robot_5,task_10,60.60641738482122,74.62641738482122
loading_zone,robot_1,task_2,74.62641738482122,89.99641738482121
