config,num_robots,num_tasks,solver,seed,feasible,status,makespan,solver_time_sec,failure_reason
3r6t,3,6,Greedy,100,True,greedy,83.59103917561657,0.0003368854522705078,
3r6t,3,6,Greedy,101,True,greedy,93.93462342137934,5.602836608886719e-05,
3r6t,3,6,Greedy,102,True,greedy,98.33447054759742,4.38690185546875e-05,
3r6t,3,6,Greedy,103,True,greedy,139.9981638667985,4.100799560546875e-05,
3r6t,3,6,Greedy,104,True,greedy,56.29969129501478,4.100799560546875e-05,
3r6t,3,6,Greedy,105,True,greedy,86.51800456616527,4.029273986816406e-05,
3r6t,3,6,Greedy,106,True,greedy,115.6077425198956,3.981590270996094e-05,
3r6t,3,6,Greedy,107,True,greedy,79.18509969098027,3.981590270996094e-05,
3r6t,3,6,Greedy,108,True,greedy,92.56251229493262,3.981590270996094e-05,
3r6t,3,6,Greedy,109,True,greedy,145.90064348578534,4.00543212890625e-05,
3r6t,3,6,VeriROS-SMT,100,True,sat,83.59103917561657,0.05530405044555664,
3r6t,3,6,VeriROS-SMT,101,True,sat,53.88506031628117,0.0847468376159668,
3r6t,3,6,VeriROS-SMT,102,True,sat,78.93145618261512,0.04974794387817383,
6r12t,6,12,Greedy,100,True,greedy,153.23492180018368,0.00011205673217773438,
6r12t,6,12,Greedy,101,True,greedy,127.86969050748357,0.00010418891906738281,
6r12t,6,12,Greedy,102,True,greedy,127.80943543278681,9.298324584960938e-05,
6r12t,6,12,Greedy,103,True,greedy,130.48921571909284,9.131431579589844e-05,
6r12t,6,12,Greedy,104,True,greedy,115.01535843812704,8.988380432128906e-05,
6r12t,6,12,Greedy,105,True,greedy,136.5968336142702,8.7738037109375e-05,
6r12t,6,12,Greedy,106,True,greedy,176.1533073353279,8.893013000488281e-05,
6r12t,6,12,Greedy,107,True,greedy,134.16272447491534,8.893013000488281e-05,
6r12t,6,12,Greedy,108,True,greedy,155.9568511063949,8.988380432128906e-05,
6r12t,6,12,Greedy,109,True,greedy,102.07044057494478,8.893013000488281e-05,
6r12t,6,12,VeriROS-SMT,100,True,sat,86.99641738482121,1.6076350212097168,
6r12t,6,12,VeriROS-SMT,101,True,sat,108.31625533279889,1.0917818546295166,
6r12t,6,12,VeriROS-SMT,102,True,sat,93.71807441778058,1.4082868099212646,
7r14t,7,14,Greedy,100,True,greedy,187.30180504662263,0.0001380443572998047,
7r14t,7,14,Greedy,101,True,greedy,167.02535309240162,0.00012612342834472656,
7r14t,7,14,Greedy,102,True,greedy,176.091354266317,0.00011301040649414062,
7r14t,7,14,Greedy,103,True,greedy,175.5569184211981,0.00012803077697753906,
7r14t,7,14,Greedy,104,True,greedy,145.25102496311976,0.00011301040649414062,
7r14t,7,14,Greedy,105,True,greedy,129.63992915913417,0.00011110305786132812,
7r14t,7,14,Greedy,106,True,greedy,162.83157123330204,0.00010991096496582031,
7r14t,7,14,Greedy,107,True,greedy,146.3128757833475,0.00010800361633300781,
7r14t,7,14,Greedy,108,True,greedy,187.9431946696218,0.00010800361633300781,
7r14t,7,14,Greedy,109,True,greedy,178.07682121720768,0.00010824203491210938,
7r14t,7,14,VeriROS-SMT,100,True,sat,109.01811239695192,4.090735912322998,
7r14t,7,14,VeriROS-SMT,101,True,sat,95.1077929105839,4.228827238082886,
7r14t,7,14,VeriROS-SMT,102,True,sat,105.523015761476,3.7539541721343994,
8r16t,8,16,Greedy,100,True,greedy,156.15025303021508,0.00015401840209960938,
8r16t,8,16,Greedy,101,True,greedy,184.1188800331976,0.00014209747314453125,
8r16t,8,16,Greedy,102,True,greedy,147.77710313715355,0.00013184547424316406,
8r16t,8,16,Greedy,103,True,greedy,160.38245434601666,0.00012993812561035156,
8r16t,8,16,Greedy,104,True,greedy,165.07942802580976,0.00012803077697753906,
8r16t,8,16,Greedy,105,True,greedy,192.75735099853546,0.00012803077697753906,
8r16t,8,16,Greedy,106,True,greedy,184.57429443026177,0.00012922286987304688,
8r16t,8,16,Greedy,107,True,greedy,229.45839401010994,0.00012874603271484375,
8r16t,8,16,Greedy,108,True,greedy,216.05267619930402,0.000125885009765625,
8r16t,8,16,Greedy,109,True,greedy,142.01485160571346,0.000125885009765625,
8r16t,8,16,VeriROS-SMT,100,True,sat,104.16990206411703,7.672610759735107,
8r16t,8,16,VeriROS-SMT,101,True,sat,114.53019768260644,8.778597831726074,
8r16t,8,16,VeriROS-SMT,102,True,sat,110.74031283345468,9.930328130722046,
