resource,robot,task_id,start_time,end_time
charging_station,robot_7,task_12,55.459902064117024,66.21990206411702
charging_station,robot_3,task_4,66.21990206411702,78.73990206411702
charging_station,robot_7,task_8,81.76077257193379,93.2807725719338
charging_station,robot_3,task_16,94.40990206411702,106.66990206411703
corridor_A,robot_4,task_7,21.793193644460484,31.123193644460486
corridor_A,robot_4,task_1,32.543557871674174,43.49355787167418
corridor_A,robot_2,task_15,44.98938798244637,54.51938798244637
corridor_A,robot_8,task_3,54.51938798244637,64.33938798244637
corridor_A,robot_4,task_13,64.33938798244637,74.97938798244637
corridor_A,robot_6,task_5,74.97938798244637,84.81938798244637
corridor_A,robot_8,task_9,84.81938798244637,94.89938798244637
corridor_A,robot_4,task_11,94.89938798244637,104.83938798244637
loading_zone,robot_4,task_7,21.793193644460484,32.123193644460486
loading_zone,robot_1,task_2,42.58990206411703,55.459902064117024
loading_zone,robot_7,task_12,55.459902064117024,66.71990206411702
loading_zone,robot_1,task_10,66.71990206411702,80.30990206411703
loading_zone,robot_5,task_14,80.30990206411703,94.28990206411703
loading_zone,robot_1,task_6,94.28990206411703,107.16990206411703
