resource,robot,task_id,start_time,end_time
charging_station,robot_7,task_12,55.459902064117024,66.21990206411702
charging_station,robot_3,task_4,66.21990206411702,78.73990206411702
charging_station,robot_7,task_8,78.73990206411702,90.25990206411703
charging_station,robot_3,task_16,92.11031618739825,104.37031618739826
corridor_A,robot_2,task_5,19.418900781454695,29.258900781454695
corridor_A,robot_8,task_7,29.258900781454695,38.5889007814547
corridor_A,robot_4,task_1,38.5889007814547,49.53890078145469
corridor_A,robot_6,task_13,52.8352467389707,63.475246738970704
corridor_A,robot_4,task_9,64.98452217334578,75.06452217334578
corridor_A,robot_2,task_11,75.06452217334578,85.00452217334578
corridor_A,robot_4,task_3,85.09285985452188,94.91285985452187
corridor_A,robot_8,task_15,96.63990206411702,106.16990206411703
loading_zone,robot_8,task_7,29.258900781454695,39.5889007814547
loading_zone,robot_1,task_2,42.4250485117632,55.2950485117632
loading_zone,robot_7,task_12,55.459902064117024,66.71990206411702
loading_zone,robot_1,task_10,66.71990206411702,80.30990206411703
loading_zone,robot_5,task_14,80.30990206411703,94.28990206411703
loading_zone,robot_1,task_6,94.28990206411703,107.16990206411703
