config,solver,runs,feasible_runs,feasible_rate,avg_makespan_sec,min_makespan_sec,max_makespan_sec,std_makespan_sec,avg_time_sec
3r6t,Greedy,10,10,1.0,99.19319908641657,56.29969129501478,145.90064348578534,27.553359930848636,4.6086311340332034e-05
3r6t,VeriROS-SMT,3,3,1.0,72.13585189150429,53.88506031628117,83.59103917561657,15.976434935831067,0.027551968892415363
6r12t,Greedy,10,10,1.0,135.9358779003527,102.07044057494478,176.1533073353279,21.25617141446808,7.839202880859375e-05
6r12t,VeriROS-SMT,3,3,1.0,96.34358237846689,86.99641738482121,108.31625533279889,10.899717499583538,0.5815073649088541
7r14t,Greedy,10,10,1.0,165.60308478522722,129.63992915913417,187.9431946696218,19.504879365019598,9.512901306152344e-05
7r14t,VeriROS-SMT,3,3,1.0,103.21630702300394,95.1077929105839,109.01811239695192,7.236361375464538,1.8150889873504639
8r16t,Greedy,10,10,1.0,177.83656858163172,142.01485160571346,229.45839401010994,28.977446723940382,0.00011124610900878907
8r16t,VeriROS-SMT,3,3,1.0,109.81347086005938,104.16990206411703,114.53019768260644,5.241966077566529,3.3496290842692056
