resource,robot,task_id,start_time,end_time
charging_station,robot_7,task_8,34.99076344366912,46.82076344366912
charging_station,robot_3,task_12,53.84260608103725,66.28260608103726
charging_station,robot_3,task_4,93.79750608457253,106.11750608457254
corridor_A,robot_2,task_1,16.643667626839747,28.013667626839744
corridor_A,robot_4,task_7,28.013667626839744,35.89366762683974
corridor_A,robot_2,task_5,43.50090966540361,54.520909665403614
corridor_A,robot_6,task_11,54.84930798363695,63.439307983636944
corridor_A,robot_4,task_3,64.00083245073816,71.87083245073815
corridor_A,robot_7,task_9,71.87083245073815,81.89083245073816
corridor_A,robot_2,task_13,81.89083245073816,91.15083245073815
loading_zone,robot_4,task_7,28.013667626839744,36.89366762683974
loading_zone,robot_1,task_10,39.762606081037255,53.84260608103725
loading_zone,robot_3,task_12,53.84260608103725,66.78260608103726
loading_zone,robot_5,task_2,68.58811239695193,83.53811239695193
loading_zone,robot_1,task_6,83.53811239695193,97.37811239695192
loading_zone,robot_5,task_14,97.37811239695192,112.01811239695192
