resource,robot,task_id,start_time,end_time
charging_station,robot_3,task_4,27.335199936264516,35.20519993626451
charging_station,robot_3,task_8,60.191119526661375,68.07111952666138
charging_station,robot_3,task_12,139.95966518451942,148.54966518451943
corridor_A,robot_1,task_1,25.883843975366307,34.263843975366306
corridor_A,robot_2,task_3,44.4944439845662,52.444443984566206
corridor_A,robot_5,task_5,54.444443984566206,63.264443984566206
corridor_A,robot_6,task_7,111.71008236044362,118.55008236044362
corridor_A,robot_3,task_9,120.55008236044362,128.88008236044362
corridor_A,robot_6,task_11,146.15492180018367,153.23492180018368
loading_zone,robot_1,task_2,67.50983329840822,79.87983329840823
loading_zone,robot_1,task_6,96.69008236044363,108.71008236044362
loading_zone,robot_6,task_7,111.71008236044362,118.55008236044362
loading_zone,robot_5,task_10,121.55008236044362,132.57008236044362
loading_zone,robot_3,task_12,139.95966518451942,148.54966518451943
