resource,robot,task_id,start_time,end_time
charging_station,robot_3,task_12,26.402484731555095,37.492484731555095
charging_station,robot_3,task_4,47.70398433711786,58.07398433711786
charging_station,robot_3,task_8,81.5179119819675,91.8979119819675
corridor_A,robot_1,task_1,25.883843975366307,36.263843975366306
corridor_A,robot_4,task_5,41.14151886682342,51.96151886682342
corridor_A,robot_2,task_7,53.0124847315551,61.852484731555094
corridor_A,robot_6,task_9,61.852484731555094,72.18248473155509
corridor_A,robot_4,task_11,72.18248473155509,81.26248473155509
corridor_A,robot_6,task_3,81.26248473155509,91.2124847315551
loading_zone,robot_3,task_12,26.402484731555095,37.992484731555095
loading_zone,robot_5,task_6,37.992484731555095,53.0124847315551
loading_zone,robot_2,task_7,53.0124847315551,62.852484731555094
loading_zone,robot_1,task_10,63.0079119819675,77.0279119819675
loading_zone,robot_5,task_2,77.0279119819675,92.3979119819675
