resource,robot,task_id,start_time,end_time
charging_station,robot_7,task_4,57.34091297192185,69.86091297192185
charging_station,robot_7,task_8,96.09395046033677,107.61395046033677
charging_station,robot_3,task_12,121.56730236796463,132.32730236796462
charging_station,robot_7,task_16,135.05812565548806,147.31812565548805
corridor_A,robot_4,task_1,22.486090638697522,33.43609063869752
corridor_A,robot_2,task_3,54.361599075557066,64.18159907555707
corridor_A,robot_6,task_5,64.18159907555707,74.02159907555708
corridor_A,robot_8,task_7,97.64730236796463,106.97730236796463
corridor_A,robot_2,task_9,106.97730236796463,117.05730236796462
corridor_A,robot_8,task_11,117.05730236796462,126.99730236796462
corridor_A,robot_4,task_13,126.99730236796462,137.63730236796462
corridor_A,robot_2,task_15,137.73825821778843,147.26825821778843
loading_zone,robot_5,task_2,45.96238075257247,58.83238075257247
loading_zone,robot_5,task_6,84.76730236796463,97.64730236796463
loading_zone,robot_8,task_7,97.64730236796463,107.97730236796463
loading_zone,robot_1,task_10,107.97730236796463,121.56730236796463
loading_zone,robot_3,task_12,121.56730236796463,132.82730236796462
loading_zone,robot_1,task_14,145.1702530302151,159.15025303021508
